nm,attack_1,attack_2,attack_3,attack_4,attack_5,attack_6,attack_7,attack_8,attack_9,attack_10,wrestle_1,wrestle_2,wrestle_3,wrestle_4,wrestle_5,wrestle_6,wrestle_7,wrestle_8,wrestle_9,wrestle_10,chase_1,chase_2,chase_3,chase_4,chase_5,chase_6,chase_7,chase_8,chase_9,chase_10,escape_1,escape_2,escape_3,escape_4,escape_5,escape_6,escape_7,escape_8,escape_9,escape_10,conflict_1,conflict_2,conflict_3,conflict_4,conflict_5,conflict_6,conflict_7,conflict_8,conflict_9,conflict_10,investment_1,investment_2,investment_3,investment_4,investment_5,investment_6,investment_7,investment_8,investment_9,investment_10
n2659 H,3,4,1,5,0,0,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,6,2,6,0,1,5,1,0,2,263.0004,520.04745,515.00003,481.69708,562.36923,581.56081,526.62196,565.97376,384.16574,467.54492
n2659 O,4,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,5,3,0,2,7,4,0,1,1,3,6,3,0,2,263.0004,0,11.1813,0,165.95039,11.0812,0,23.5308,27.53598,131.906
n2659 X,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,2,0,0,0,0,1,3,1,6,1,3,0,0,0,0,1,3,165.0826,44.82535,0,3.17081,0,0,0,0,0,4.30563
n2660 =,3,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,9,2,3,0,0,0,0,0,600.78585,442.6454,599.08333,0,0,0,0,0,0,0
n2660 o,0,2,7,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,0,0,2,0,0,1,2,9,5,3,0,0,2,0,0,0,600.2184,589.73777,0,0,0,0,0,0,0
n2660 A,1,2,2,1,3,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,2,4,3,4,0,0,3,0,0,600.78585,600.2184,599.08333,541.77517,446.8182,394.2157,193.1531,556.81508,396.35213,240.58141
n2660 H,5,34,10,7,3,3,7,0,0,1,3,5,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,39,15,9,3,3,8,0,0,1,591.64055,600.2184,0,600.41854,586.70116,570.4513,566.04116,397.47335,444.14818,488.13857
n2660 O,0,14,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,17,6,0,0,0,0,0,0,0,0,600.2184,130.8045,87.18067,0,0,0,0,0,0
n2660 X,4,7,12,4,0,0,2,0,0,0,3,9,7,9,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,1,0,0,8,16,19,13,2,4,12,1,0,0,515.84135,600.2184,0,331.76732,0,0,56.04003,16.555,0,103.03481
n2673 =,5,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,0,1,0,1,0,1,0,15,3,3,0,1,0,1,0,1,0,570.9133,0,1.20157,0,0,0,0,13.4176,0,0
